state,typeGov,stateChange,urbanChange,ruralChange
Johor,before,-0.02999999999999997,-0.023999999999999966,-0.04800000000000004
Johor,after,-0.01200000000000001,-0.015000000000000013,-0.01699999999999996
Kedah,before,-0.028000000000000025,-0.02200000000000002,-0.04899999999999999
Kedah,after,0.039000000000000035,0.028000000000000025,0.068
Kelantan,before,0.0040000000000000036,0.01100000000000001,-0.007000000000000006
Kelantan,after,0.01100000000000001,0.0030000000000000027,0.01100000000000001
Melaka,before,-0.02100000000000002,-0.018000000000000016,-0.08600000000000002
Melaka,after,-0.045999999999999985,-0.04799999999999999,0.0010000000000000009
Negeri Sembilan,before,-0.019000000000000017,-0.020000000000000018,-0.02999999999999997
Negeri Sembilan,after,-0.01100000000000001,-0.006000000000000005,-0.017000000000000015
Pahang,before,0.035999999999999976,0.030999999999999972,0.041000000000000036
Pahang,after,-0.006000000000000005,-0.008000000000000007,0.0030000000000000027
Perak,before,0.0040000000000000036,0.0020000000000000018,0.006000000000000005
Perak,after,-0.015000000000000013,-0.02200000000000002,0.012999999999999956
Sarawak,before,0.0050000000000000044,0.0050000000000000044,0.0040000000000000036
Sarawak,after,-0.0010000000000000009,0.0010000000000000009,-0.009000000000000008
Federal Territory of Kuala Lumpur,before,0.02899999999999997,0.02899999999999997,-0.0
Federal Territory of Kuala Lumpur,after,0.028000000000000025,0.028000000000000025,-0.0
Sabah,before,-0.015000000000000013,-0.020000000000000018,-0.0030000000000000027
Sabah,after,0.0050000000000000044,0.010000000000000009,-0.0030000000000000027
Terengganu,before,0.03199999999999997,0.034999999999999976,0.02200000000000002
Terengganu,after,-0.007000000000000006,-0.0030000000000000027,-0.018000000000000016
Penang,before,0.008000000000000007,0.008000000000000007,-0.009000000000000008
Penang,after,-0.0030000000000000027,-0.0040000000000000036,-0.0040000000000000036
Selangor,before,0.007000000000000006,0.006000000000000005,0.01100000000000001
Selangor,after,-0.02100000000000002,-0.02200000000000002,-0.03200000000000003
